id	item	answer
5aae63b2-df86-4711-96e1-28d8b4774d0d	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Trávím èas s pøáteli, kteøí se cítí osamìle.	5
5aae63b2-df86-4711-96e1-28d8b4774d0d	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	5
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Sdílím své vìci se svými pøáteli.	3
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Snažím se pomáhat ostatním.	3
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Soucítím s lidmi v nouzi.	2
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Když je nìkdo v nouzi, okamžitì mu pomohu.	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	2
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Intenzivnì prožívám, co cítí druzí.	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Ochotnì nabízím své znalosti a dovednosti druhým.	3
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Snažím se utìšit ty, kteøí jsou smutní.	2
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Ochotnì pùjèuji peníze nebo jiné vìci.	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	2
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	2
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Trávím èas s pøáteli, kteøí se cítí osamìle.	1
ce9fdb7a-02a7-40be-add0-bfa3e83f0c35	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	2
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Sdílím své vìci se svými pøáteli.	3
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Snažím se pomáhat ostatním.	2
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Soucítím s lidmi v nouzi.	2
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Když je nìkdo v nouzi, okamžitì mu pomohu.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Intenzivnì prožívám, co cítí druzí.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Ochotnì nabízím své znalosti a dovednosti druhým.	4
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Snažím se utìšit ty, kteøí jsou smutní.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Ochotnì pùjèuji peníze nebo jiné vìci.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	1
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	5
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Trávím èas s pøáteli, kteøí se cítí osamìle.	4
bf3851c6-714f-456a-b8bd-d79e53dcec2d	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	5
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	2
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Sdílím své vìci se svými pøáteli.	2
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Snažím se pomáhat ostatním.	4
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	4
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Soucítím s lidmi v nouzi.	5
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Když je nìkdo v nouzi, okamžitì mu pomohu.	1
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Intenzivnì prožívám, co cítí druzí.	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Ochotnì nabízím své znalosti a dovednosti druhým.	4
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Snažím se utìšit ty, kteøí jsou smutní.	4
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Ochotnì pùjèuji peníze nebo jiné vìci.	1
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	2
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Trávím èas s pøáteli, kteøí se cítí osamìle.	3
e2cd1e1e-5341-4fbb-a34c-5f05c94b7f1e	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	3
592ca275-599c-4c37-afa4-eb087ae7e513	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
592ca275-599c-4c37-afa4-eb087ae7e513	Sdílím své vìci se svými pøáteli.	4
592ca275-599c-4c37-afa4-eb087ae7e513	Snažím se pomáhat ostatním.	4
592ca275-599c-4c37-afa4-eb087ae7e513	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	3
592ca275-599c-4c37-afa4-eb087ae7e513	Soucítím s lidmi v nouzi.	5
592ca275-599c-4c37-afa4-eb087ae7e513	Když je nìkdo v nouzi, okamžitì mu pomohu.	4
592ca275-599c-4c37-afa4-eb087ae7e513	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
592ca275-599c-4c37-afa4-eb087ae7e513	Intenzivnì prožívám, co cítí druzí.	5
592ca275-599c-4c37-afa4-eb087ae7e513	Ochotnì nabízím své znalosti a dovednosti druhým.	4
592ca275-599c-4c37-afa4-eb087ae7e513	Snažím se utìšit ty, kteøí jsou smutní.	4
592ca275-599c-4c37-afa4-eb087ae7e513	Ochotnì pùjèuji peníze nebo jiné vìci.	3
592ca275-599c-4c37-afa4-eb087ae7e513	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	5
592ca275-599c-4c37-afa4-eb087ae7e513	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	3
592ca275-599c-4c37-afa4-eb087ae7e513	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	2
592ca275-599c-4c37-afa4-eb087ae7e513	Trávím èas s pøáteli, kteøí se cítí osamìle.	3
592ca275-599c-4c37-afa4-eb087ae7e513	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	2
d68aa525-ca85-4281-8ecc-bce7a76525e7	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
d68aa525-ca85-4281-8ecc-bce7a76525e7	Sdílím své vìci se svými pøáteli.	4
d68aa525-ca85-4281-8ecc-bce7a76525e7	Snažím se pomáhat ostatním.	4
d68aa525-ca85-4281-8ecc-bce7a76525e7	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	1
d68aa525-ca85-4281-8ecc-bce7a76525e7	Soucítím s lidmi v nouzi.	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	Když je nìkdo v nouzi, okamžitì mu pomohu.	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	Intenzivnì prožívám, co cítí druzí.	1
d68aa525-ca85-4281-8ecc-bce7a76525e7	Ochotnì nabízím své znalosti a dovednosti druhým.	4
d68aa525-ca85-4281-8ecc-bce7a76525e7	Snažím se utìšit ty, kteøí jsou smutní.	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	Ochotnì pùjèuji peníze nebo jiné vìci.	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	3
d68aa525-ca85-4281-8ecc-bce7a76525e7	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	2
d68aa525-ca85-4281-8ecc-bce7a76525e7	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	4
d68aa525-ca85-4281-8ecc-bce7a76525e7	Trávím èas s pøáteli, kteøí se cítí osamìle.	4
d68aa525-ca85-4281-8ecc-bce7a76525e7	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	3
5bb12bec-c05b-4083-8d38-4784fdeb981b	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Sdílím své vìci se svými pøáteli.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Snažím se pomáhat ostatním.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	3
5bb12bec-c05b-4083-8d38-4784fdeb981b	Soucítím s lidmi v nouzi.	3
5bb12bec-c05b-4083-8d38-4784fdeb981b	Když je nìkdo v nouzi, okamžitì mu pomohu.	2
5bb12bec-c05b-4083-8d38-4784fdeb981b	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Intenzivnì prožívám, co cítí druzí.	2
5bb12bec-c05b-4083-8d38-4784fdeb981b	Ochotnì nabízím své znalosti a dovednosti druhým.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Snažím se utìšit ty, kteøí jsou smutní.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Ochotnì pùjèuji peníze nebo jiné vìci.	4
5bb12bec-c05b-4083-8d38-4784fdeb981b	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	2
5bb12bec-c05b-4083-8d38-4784fdeb981b	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	3
5bb12bec-c05b-4083-8d38-4784fdeb981b	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Trávím èas s pøáteli, kteøí se cítí osamìle.	5
5bb12bec-c05b-4083-8d38-4784fdeb981b	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	2
de672a8f-d10a-43ea-9f26-a87160fe8e11	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
de672a8f-d10a-43ea-9f26-a87160fe8e11	Sdílím své vìci se svými pøáteli.	1
de672a8f-d10a-43ea-9f26-a87160fe8e11	Snažím se pomáhat ostatním.	3
de672a8f-d10a-43ea-9f26-a87160fe8e11	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	1
de672a8f-d10a-43ea-9f26-a87160fe8e11	Soucítím s lidmi v nouzi.	4
de672a8f-d10a-43ea-9f26-a87160fe8e11	Když je nìkdo v nouzi, okamžitì mu pomohu.	3
de672a8f-d10a-43ea-9f26-a87160fe8e11	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	4
de672a8f-d10a-43ea-9f26-a87160fe8e11	Intenzivnì prožívám, co cítí druzí.	2
de672a8f-d10a-43ea-9f26-a87160fe8e11	Ochotnì nabízím své znalosti a dovednosti druhým.	2
de672a8f-d10a-43ea-9f26-a87160fe8e11	Snažím se utìšit ty, kteøí jsou smutní.	4
de672a8f-d10a-43ea-9f26-a87160fe8e11	Ochotnì pùjèuji peníze nebo jiné vìci.	1
de672a8f-d10a-43ea-9f26-a87160fe8e11	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	3
de672a8f-d10a-43ea-9f26-a87160fe8e11	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	4
de672a8f-d10a-43ea-9f26-a87160fe8e11	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	4
de672a8f-d10a-43ea-9f26-a87160fe8e11	Trávím èas s pøáteli, kteøí se cítí osamìle.	2
de672a8f-d10a-43ea-9f26-a87160fe8e11	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	3
8d26c891-2273-4db6-a123-ebb06e91b864	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	5
8d26c891-2273-4db6-a123-ebb06e91b864	Sdílím své vìci se svými pøáteli.	5
8d26c891-2273-4db6-a123-ebb06e91b864	Snažím se pomáhat ostatním.	4
8d26c891-2273-4db6-a123-ebb06e91b864	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	2
8d26c891-2273-4db6-a123-ebb06e91b864	Soucítím s lidmi v nouzi.	1
8d26c891-2273-4db6-a123-ebb06e91b864	Když je nìkdo v nouzi, okamžitì mu pomohu.	2
8d26c891-2273-4db6-a123-ebb06e91b864	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
8d26c891-2273-4db6-a123-ebb06e91b864	Intenzivnì prožívám, co cítí druzí.	1
8d26c891-2273-4db6-a123-ebb06e91b864	Ochotnì nabízím své znalosti a dovednosti druhým.	4
8d26c891-2273-4db6-a123-ebb06e91b864	Snažím se utìšit ty, kteøí jsou smutní.	3
8d26c891-2273-4db6-a123-ebb06e91b864	Ochotnì pùjèuji peníze nebo jiné vìci.	5
8d26c891-2273-4db6-a123-ebb06e91b864	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	1
8d26c891-2273-4db6-a123-ebb06e91b864	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	2
8d26c891-2273-4db6-a123-ebb06e91b864	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	5
8d26c891-2273-4db6-a123-ebb06e91b864	Trávím èas s pøáteli, kteøí se cítí osamìle.	5
8d26c891-2273-4db6-a123-ebb06e91b864	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	5
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Sdílím své vìci se svými pøáteli.	4
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Snažím se pomáhat ostatním.	3
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	3
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Soucítím s lidmi v nouzi.	5
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Když je nìkdo v nouzi, okamžitì mu pomohu.	4
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	4
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Intenzivnì prožívám, co cítí druzí.	5
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Ochotnì nabízím své znalosti a dovednosti druhým.	3
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Snažím se utìšit ty, kteøí jsou smutní.	3
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Ochotnì pùjèuji peníze nebo jiné vìci.	2
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	2
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	2
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	2
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Trávím èas s pøáteli, kteøí se cítí osamìle.	1
95c976b9-f5b3-4467-a80e-acf77ac4e9bc	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Sdílím své vìci se svými pøáteli.	5
af0811ac-c3a2-499e-9747-0909fabd27d3	Snažím se pomáhat ostatním.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Soucítím s lidmi v nouzi.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Když je nìkdo v nouzi, okamžitì mu pomohu.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Intenzivnì prožívám, co cítí druzí.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Ochotnì nabízím své znalosti a dovednosti druhým.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Snažím se utìšit ty, kteøí jsou smutní.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Ochotnì pùjèuji peníze nebo jiné vìci.	2
af0811ac-c3a2-499e-9747-0909fabd27d3	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	3
af0811ac-c3a2-499e-9747-0909fabd27d3	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Trávím èas s pøáteli, kteøí se cítí osamìle.	4
af0811ac-c3a2-499e-9747-0909fabd27d3	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Sdílím své vìci se svými pøáteli.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Snažím se pomáhat ostatním.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	2
ecec852a-c88f-4e08-8099-6155407ae3cf	Soucítím s lidmi v nouzi.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Když je nìkdo v nouzi, okamžitì mu pomohu.	3
ecec852a-c88f-4e08-8099-6155407ae3cf	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
ecec852a-c88f-4e08-8099-6155407ae3cf	Intenzivnì prožívám, co cítí druzí.	3
ecec852a-c88f-4e08-8099-6155407ae3cf	Ochotnì nabízím své znalosti a dovednosti druhým.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Snažím se utìšit ty, kteøí jsou smutní.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Ochotnì pùjèuji peníze nebo jiné vìci.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	3
ecec852a-c88f-4e08-8099-6155407ae3cf	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Trávím èas s pøáteli, kteøí se cítí osamìle.	4
ecec852a-c88f-4e08-8099-6155407ae3cf	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	2
68175172-e643-4081-8918-396922cbf82b	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	4
68175172-e643-4081-8918-396922cbf82b	Sdílím své vìci se svými pøáteli.	4
68175172-e643-4081-8918-396922cbf82b	Snažím se pomáhat ostatním.	4
68175172-e643-4081-8918-396922cbf82b	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	2
68175172-e643-4081-8918-396922cbf82b	Soucítím s lidmi v nouzi.	5
68175172-e643-4081-8918-396922cbf82b	Když je nìkdo v nouzi, okamžitì mu pomohu.	4
68175172-e643-4081-8918-396922cbf82b	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	5
68175172-e643-4081-8918-396922cbf82b	Intenzivnì prožívám, co cítí druzí.	5
68175172-e643-4081-8918-396922cbf82b	Ochotnì nabízím své znalosti a dovednosti druhým.	5
68175172-e643-4081-8918-396922cbf82b	Snažím se utìšit ty, kteøí jsou smutní.	4
68175172-e643-4081-8918-396922cbf82b	Ochotnì pùjèuji peníze nebo jiné vìci.	5
68175172-e643-4081-8918-396922cbf82b	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	3
68175172-e643-4081-8918-396922cbf82b	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	3
68175172-e643-4081-8918-396922cbf82b	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	4
68175172-e643-4081-8918-396922cbf82b	Trávím èas s pøáteli, kteøí se cítí osamìle.	3
68175172-e643-4081-8918-396922cbf82b	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	3
830690d6-1d3b-415f-b407-7f20f8ac02b7	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Sdílím své vìci se svými pøáteli.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Snažím se pomáhat ostatním.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Úèastním se dobrovolnických aktivit, abych pomohl/a tìm, co to potøebují.	3
830690d6-1d3b-415f-b407-7f20f8ac02b7	Soucítím s lidmi v nouzi.	4
830690d6-1d3b-415f-b407-7f20f8ac02b7	Když je nìkdo v nouzi, okamžitì mu pomohu.	3
830690d6-1d3b-415f-b407-7f20f8ac02b7	Dìlám vše, co mùžu, abych pomohl/a ostatním nedostat se do problémù.	3
830690d6-1d3b-415f-b407-7f20f8ac02b7	Intenzivnì prožívám, co cítí druzí.	4
830690d6-1d3b-415f-b407-7f20f8ac02b7	Ochotnì nabízím své znalosti a dovednosti druhým.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Snažím se utìšit ty, kteøí jsou smutní.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Ochotnì pùjèuji peníze nebo jiné vìci.	4
830690d6-1d3b-415f-b407-7f20f8ac02b7	Snadno se vcítím do kùže tìch, kteøí jsou v nouzi.	4
830690d6-1d3b-415f-b407-7f20f8ac02b7	Snažím se být blízko tìm, kteøí jsou v nouzi, a starat se o nì.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Ochotnì sdílím s pøáteli rùzné pøíležitosti, které se mi naskytnou.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Trávím èas s pøáteli, kteøí se cítí osamìle.	5
830690d6-1d3b-415f-b407-7f20f8ac02b7	Hned vycítím, když se moji pøátelé necítí dobøe, i když mi to pøímo neøeknou.	5
e6bf85ac-33b0-4795-be51-f0543728d234	Rád/a pomohu svým pøátelùm/kolegùm s tím, co dìlají.	5
e6bf85ac-33b0-4795-be51-f0543728d234	Sdílím své vìci se svými pøáteli.	3
e6bf85ac-33b0-4795-be51-f0543728d234	Snažím se pomáhat ostatním.	5
